model_abbr,website_url,repo_url,citation,methods,methods_long,data_inputs,method_type,mathematical_type,mathematical_detail,empirical_type,empirical_detail,checked citation,check
AMM-EpiInvert,https://github.com/lalvarezmat/EpiInvert,NA,"https://doi.org/10.1073/pnas.2105112118 , https://doi.org/10.3390/biology11040540 , https://ctim.ulpgc.es/covid19/EpiInvertForecast.html",Learning from the past a short time forecast of the COVID-19 incidence curve trend.,"We design a learning procedure, EpiInvertForecast,  to forecast the future trend of the daily incidence. This learning procedure is based on a database of 27,418 incidence trend curves computed in the past, with EpiInvert, using real data. The forecast of the current incidence trend is obtained as a weighted average of the 27,418 database curves where the weight of each database curve depends on the similarity between the current curve and the database curve in the past. We also compute empirical confidence intervals for the forecast estimation and, using the weekly seasonality computed by EpiInvert, we also estimate a forecast of the original incidence curve.",https://github.com/covid19-forecast-hub-europe/covid19-forecast-hub-europe/tree/main/data-truth/JHU,Empirical,NA,NA,freq,ML,https://www.medrxiv.org/content/10.1101/2022.11.05.22281904v3,NA
BIOCOMSC-Gompertz,https://biocomsc.upc.edu/en/covid-19,NA,https://doi.org/10.1371/journal.pcbi.1008431  https://europepmc.org/article/ppr/ppr492063,Empirical model based on cases and deaths dynamics.,NA,NA,Empirical,NA,NA,freq,Gompertz,https://europepmc.org/article/ppr/ppr492063,NA
CovidMetrics-epiBATS,https://tomz.shinyapps.io/coronaLandkreise/,NA,https://tomz.shinyapps.io/coronaLandkreise/,"Forecasts are based on TBATS - models (DeLivera, Hyndman and Snyder (2011)) and are updated daily for each German state.","Forecasts are based on TBATS - models (DeLivera, Hyndman und Snyder (2011)) and are updated daily for each German state. Final models are based on comparing multiple models and selecting the best-performing model based on AIC in historical data. The models forecast the 7-day incidence. The forecasting model is the same that is used at our website below.",NA,Empirical,NA,NA,freq,tbats,NA,NA
DSMPG-bayes,https://github.com/Priesemann-Group/covid19_inference_forecast,https://github.com/Priesemann-Group/covid19-forecast-hub-europe,https://science.sciencemag.org/content/369/6500/eabb9789,Bayesian inference of SIR-dynamics,"This model simulates SIR-dynamics with a log-normal convolutions  of infections to obtain the delayed reported cases. Parameters of the model are  sampled with Hamiltonian Monte-Carlo using the PyMC3 Python library. We assume that  the infection rate can change every week, with a standard deviation that is also an    optimized parameter. When new governmental restrictions are enacted or lifted, we    include a small prior to the change of the infection rate.",JHU CSSE (confirmed cases; reported fatalities),Semi-mechanistic,ode,sir,bayes,case convolution,https://www.science.org/doi/10.1126/science.abb9789,NA
DirkBeckmann-Gompertz,https://github.com/HoddleHH,NA,NA,gompertz model,"This model uses the Gompertz function in combination with some kind of ""clever parameter adjustment"" to already existing data for a covid infection wave. The model focuses currently on infection cases, but could easily be extended to other data like hospitalization or death cases. Based on the initial period of a Covid wave, the model provides a prediction for the expected maximum in terms of highest value and point of time. This approach delivered already excellent results for Germany last March & April when many forcasts reported in German media were extrtemely far from later actual values.",NA,Empirical,NA,NA,freq,Gompertz,NA,NA
ECDC-hosp_model,https://covid19-country-overviews.ecdc.europa.eu/,NA,NA,"mechanistic estimation of hospitalisations using age disaggregated data of weekly cases, vaccination, and case hospitalisation rates",NA,NA,Mechanistic,ode,?,NA,NA,NA,TRUE
EuroCOVIDhub-baseline,https://covid19forecasthub.eu/,https://github.com/epiforecasts/covid19-forecast-hub-europe,NA,An baseline model against which other models can be evaluated,Baseline model automatically generated using past truth data via the script create-baseline.R in the present repository. Baseline generated using code at https://github.com/reichlab/covidModels/blob/master/R-package/R/quantile_baseline.R,observed incident cases and deaths (from JHU).,NA,NA,NA,NA,NA,NA,NA
EuroCOVIDhub-ensemble,https://covid19forecasthub.eu/,https://github.com/epiforecasts/covid19-forecast-hub-europe,NA,"An ensemble, or model average, of submitted forecasts to the European COVID-19 Forecast Hub.",The current ensemble is specified in https://github.com/epiforecasts/covid19-forecast-hub-europe/blob/main/forecasthub.yml and a history of methods used for the ensemble in https://github.com/epiforecasts/covid19-forecast-hub-europe/blob/main/code/ensemble/EuroCOVIDhub/method-by-date.csv,incident case and death forecasts from other models.,NA,NA,NA,NA,NA,NA,NA
FIAS_FZJ-Epi1Ger,https://www.fz-juelich.de/SharedDocs/Meldungen/IAS/JSC/DE/2021/2021-01-covid-19.html;jsessionid=F4D5FB4027E871A6F4C2FCAF0F08FC35,NA,https://doi.org/10.1101/2020.04.18.20069955,An extended SEIR model with additional compartments for undetected cases,An extended SEIR model with additional compartments for undetected cases is fit   using multiple segments to the available data for reported cases and then to reported  deaths. The parametrization of the last fit is used to forecast incidental and cumulative  deaths. Confidence intervals are determined using Monte Carlo sampling of the parameter space.,"ECDC, confirmed cases, reported fatalities, population",Mechanistic,ode,seir+,bayes,NA,https://www.medrxiv.org/content/10.1101/2020.04.18.20069955v1,NA
GoeWroc-BaseBayes,https://github.com/2bys/covid19-forecast-hub-europe,NA,NA,"A mixture between a SIR and Bayesian modelling approach, with regard to a possible spatial extension and local r values in later versions.",NA,NA,Semi-mechanistic,ode,sir,bayes,NA,NA,NA
