location,target_end_date,observed,trend
AT,2020-01-25,0,NA
BE,2020-01-25,0,NA
BG,2020-01-25,0,NA
CH,2020-01-25,0,NA
CY,2020-01-25,0,NA
CZ,2020-01-25,0,NA
DE,2020-01-25,0,NA
DK,2020-01-25,0,NA
EE,2020-01-25,0,NA
ES,2020-01-25,0,NA
FI,2020-01-25,0,NA
FR,2020-01-25,3,NA
GB,2020-01-25,0,NA
GR,2020-01-25,0,NA
HR,2020-01-25,0,NA
HU,2020-01-25,0,NA
IE,2020-01-25,0,NA
IS,2020-01-25,0,NA
IT,2020-01-25,0,NA
LI,2020-01-25,0,NA
LT,2020-01-25,0,NA
LU,2020-01-25,0,NA
LV,2020-01-25,0,NA
MT,2020-01-25,0,NA
NL,2020-01-25,0,NA
NO,2020-01-25,0,NA
PL,2020-01-25,0,NA
PT,2020-01-25,0,NA
RO,2020-01-25,0,NA
SE,2020-01-25,0,NA
SI,2020-01-25,0,NA
SK,2020-01-25,0,NA
AT,2020-02-01,0,NA
BE,2020-02-01,0,NA
BG,2020-02-01,0,NA
CH,2020-02-01,0,NA
CY,2020-02-01,0,NA
CZ,2020-02-01,0,NA
DE,2020-02-01,8,NA
DK,2020-02-01,0,NA
EE,2020-02-01,0,NA
ES,2020-02-01,1,NA
FI,2020-02-01,1,NA
FR,2020-02-01,3,NA
GB,2020-02-01,2,NA
GR,2020-02-01,0,NA
HR,2020-02-01,0,NA
HU,2020-02-01,0,NA
IE,2020-02-01,0,NA
IS,2020-02-01,0,NA
IT,2020-02-01,2,NA
LI,2020-02-01,0,NA
LT,2020-02-01,0,NA
LU,2020-02-01,0,NA
LV,2020-02-01,0,NA
MT,2020-02-01,0,NA
NL,2020-02-01,0,NA
NO,2020-02-01,0,NA
PL,2020-02-01,0,NA
PT,2020-02-01,0,NA
RO,2020-02-01,0,NA
SE,2020-02-01,1,NA
SI,2020-02-01,0,NA
SK,2020-02-01,0,NA
AT,2020-02-08,0,NA
BE,2020-02-08,1,NA
BG,2020-02-08,0,NA
CH,2020-02-08,0,NA
CY,2020-02-08,0,NA
CZ,2020-02-08,0,NA
DE,2020-02-08,5,NA
DK,2020-02-08,0,NA
EE,2020-02-08,0,NA
ES,2020-02-08,0,NA
FI,2020-02-08,0,NA
FR,2020-02-08,5,NA
GB,2020-02-08,11,NA
GR,2020-02-08,0,NA
HR,2020-02-08,0,NA
HU,2020-02-08,0,NA
IE,2020-02-08,0,NA
IS,2020-02-08,0,NA
IT,2020-02-08,1,NA
LI,2020-02-08,0,NA
LT,2020-02-08,0,NA
LU,2020-02-08,0,NA
LV,2020-02-08,0,NA
MT,2020-02-08,0,NA
NL,2020-02-08,0,NA
NO,2020-02-08,0,NA
PL,2020-02-08,0,NA
PT,2020-02-08,0,NA
RO,2020-02-08,0,NA
SE,2020-02-08,0,NA
SI,2020-02-08,0,NA
SK,2020-02-08,0,NA
AT,2020-02-15,0,Stable
BE,2020-02-15,0,Stable
BG,2020-02-15,0,Stable
CH,2020-02-15,0,Stable
CY,2020-02-15,0,Stable
CZ,2020-02-15,0,Stable
DE,2020-02-15,3,Increasing
DK,2020-02-15,0,Stable
EE,2020-02-15,0,Stable
ES,2020-02-15,1,Increasing
FI,2020-02-15,1,Increasing
FR,2020-02-15,1,Decreasing
GB,2020-02-15,5,Increasing
GR,2020-02-15,0,Stable
HR,2020-02-15,0,Stable
HU,2020-02-15,0,Stable
IE,2020-02-15,0,Stable
IS,2020-02-15,0,Stable
IT,2020-02-15,0,Stable
LI,2020-02-15,0,Stable
LT,2020-02-15,0,Stable
LU,2020-02-15,0,Stable
LV,2020-02-15,0,Stable
MT,2020-02-15,0,Stable
NL,2020-02-15,0,Stable
NO,2020-02-15,0,Stable
PL,2020-02-15,0,Stable
PT,2020-02-15,0,Stable
RO,2020-02-15,0,Stable
SE,2020-02-15,0,Stable
SI,2020-02-15,0,Stable
SK,2020-02-15,0,Stable
AT,2020-02-22,0,Stable
BE,2020-02-22,0,Stable
BG,2020-02-22,0,Stable
CH,2020-02-22,0,Stable
CY,2020-02-22,0,Stable
CZ,2020-02-22,0,Stable
DE,2020-02-22,0,Decreasing
DK,2020-02-22,0,Stable
EE,2020-02-22,0,Stable
ES,2020-02-22,0,Decreasing
FI,2020-02-22,0,Decreasing
FR,2020-02-22,0,Decreasing
GB,2020-02-22,5,Increasing
GR,2020-02-22,0,Stable
HR,2020-02-22,0,Stable
HU,2020-02-22,0,Stable
IE,2020-02-22,0,Stable
IS,2020-02-22,0,Stable
IT,2020-02-22,59,Increasing
LI,2020-02-22,0,Stable
LT,2020-02-22,0,Stable
LU,2020-02-22,0,Stable
LV,2020-02-22,0,Stable
MT,2020-02-22,0,Stable
NL,2020-02-22,0,Stable
NO,2020-02-22,0,Stable
PL,2020-02-22,0,Stable
PT,2020-02-22,0,Stable
RO,2020-02-22,0,Stable
SE,2020-02-22,0,Decreasing
SI,2020-02-22,0,Stable
SK,2020-02-22,0,Stable
AT,2020-02-29,3,Increasing
BE,2020-02-29,0,Decreasing
BG,2020-02-29,0,Stable
CH,2020-02-29,18,Increasing
CY,2020-02-29,0,Stable
CZ,2020-02-29,0,Stable
DE,2020-02-29,50,Increasing
DK,2020-02-29,3,Increasing
EE,2020-02-29,1,Increasing
ES,2020-02-29,43,Increasing
FI,2020-02-29,6,Increasing
FR,2020-02-29,88,Increasing
GB,2020-02-29,38,Increasing
GR,2020-02-29,4,Increasing
HR,2020-02-29,6,Increasing
HU,2020-02-29,0,Stable
IE,2020-02-29,1,Increasing
IS,2020-02-29,1,Increasing
IT,2020-02-29,1066,Increasing
LI,2020-02-29,0,Stable
