geoRegion,variant_type,date,entries,sumTotal,freq,prct_mean7d,prct,prct_lower_ci,prct_upper_ci,timeframe_all,type,version,classification,data_source
CHFL,all_sequenced,2020-09-28,4,4,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.1.318,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.1.529,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.1.7,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.351,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.525,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.526,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.617.1,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.617.2,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,C.37,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,other_lineages,2020-09-28,4,4,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,P.1,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,P.2,2020-09-28,0,0,NA,NA,NA,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,all_sequenced,2020-09-29,34,38,1,NA,100,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.1.318,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.1.529,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.1.7,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.351,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.525,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.526,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.617.1,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,B.1.617.2,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,C.37,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,other_lineages,2020-09-29,31,35,0.9118,NA,91.2,51.9,99,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,P.1,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,P.2,2020-09-29,0,0,0,NA,0,0,38.2,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,NA,2020-09-29,3,3,0.0882,NA,8.8,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
CHFL,all_sequenced,2020-09-30,54,92,1,NA,100,NA,NA,TRUE,COVID19VirusVariants,2022-10-18_10-53-01,default,wgs
